id_execucao;id_cenario;n_holders;distribuicao;parametro_dist;n_candidatos;tamanho_comite;turnout;n_aprovacoes;n_blocos;frac_proxy;tam_cartel;orcamento_suborno;frac_exchange;frac_colludida;n_rodadas;vantagem_incumbencia;reinveste_recompensa;metrica;camada;n_runs;seed_base;media;ic95
20260709_122851;3;200;pareto;1.5;80;11;0.5;15;5000;0.0;6;0.0;0.0;0.0;1;0.0;0.0;peso_cartel;stake;30;3100;0.27216471;0.05519035
20260709_122851;3;200;pareto;1.5;80;11;0.5;15;5000;0.0;6;0.0;0.0;0.0;1;0.0;0.0;peso_cartel;eleito;30;3100;0.68488074;0.01305749
20260709_122851;3;200;pareto;1.5;80;11;0.5;15;5000;0.0;6;0.0;0.0;0.0;1;0.0;0.0;peso_cartel;produzido;30;3100;0.68477333;0.01331255
20260709_122851;3;200;pareto;1.5;80;11;0.5;15;5000;0.0;6;0.0;0.0;0.0;1;0.0;0.0;hhi;stake;30;3100;0.05225618;0.05733723
20260709_122851;3;200;pareto;1.5;80;11;0.5;15;5000;0.0;6;0.0;0.0;0.0;1;0.0;0.0;hhi;eleito;30;3100;0.10019992;0.00119038
20260709_122851;3;200;pareto;1.5;80;11;0.5;15;5000;0.0;6;0.0;0.0;0.0;1;0.0;0.0;hhi;produzido;30;3100;0.10020882;0.00124796
20260709_122851;4;200;pareto;1.5;80;11;0.5;15;5000;0.0;9;0.0;0.0;0.0;1;0.0;0.0;cartel_break_even;stake;30;3100;12.73333333;2.12834440
20260709_122851;4;200;pareto;1.5;80;11;0.5;15;5000;0.0;9;0.0;0.0;0.0;1;0.0;0.0;cartel_break_even;eleito;30;3100;3.36666667;0.17539167
20260709_122851;4;200;pareto;1.5;80;11;0.5;15;5000;0.0;9;0.0;0.0;0.0;1;0.0;0.0;cartel_break_even;produzido;30;3100;3.33333333;0.17157374
20260709_122851;4;200;pareto;1.5;80;11;0.5;15;5000;0.0;9;0.0;0.0;0.0;1;0.0;0.0;margem_limiar;stake;30;3100;0.01329128;0.05218701
20260709_122851;4;200;pareto;1.5;80;11;0.5;15;5000;0.0;9;0.0;0.0;0.0;1;0.0;0.0;margem_limiar;eleito;30;3100;-0.55440056;0.00629644
20260709_122851;4;200;pareto;1.5;80;11;0.5;15;5000;0.0;9;0.0;0.0;0.0;1;0.0;0.0;margem_limiar;produzido;30;3100;-0.55394000;0.00629529
20260709_122851;4;200;pareto;1.5;80;11;0.5;15;5000;0.0;9;0.0;0.0;0.0;1;0.0;0.0;peso_cartel;stake;30;3100;0.32004206;0.05218701
20260709_122851;4;200;pareto;1.5;80;11;0.5;15;5000;0.0;9;0.0;0.0;0.0;1;0.0;0.0;peso_cartel;eleito;30;3100;0.88773389;0.00629644
20260709_122851;4;200;pareto;1.5;80;11;0.5;15;5000;0.0;9;0.0;0.0;0.0;1;0.0;0.0;peso_cartel;produzido;30;3100;0.88727333;0.00629529
20260709_122851;4;200;pareto;1.5;80;11;0.5;15;5000;0.0;9;0.0;0.0;0.0;1;0.0;0.0;hhi;stake;30;3100;0.05225618;0.05733723
20260709_122851;4;200;pareto;1.5;80;11;0.5;15;5000;0.0;9;0.0;0.0;0.0;1;0.0;0.0;hhi;eleito;30;3100;0.09549092;0.00054344
20260709_122851;4;200;pareto;1.5;80;11;0.5;15;5000;0.0;9;0.0;0.0;0.0;1;0.0;0.0;hhi;produzido;30;3100;0.09553215;0.00061339
20260709_122851;5;200;pareto;1.5;80;21;0.5;15;5000;0.0;0;0.0;0.0;0.0;1;0.0;0.0;cartel_break_even;stake;30;3100;12.73333333;2.12834440
20260709_122851;5;200;pareto;1.5;80;21;0.5;15;5000;0.0;0;0.0;0.0;0.0;1;0.0;0.0;cartel_break_even;eleito;30;3100;4.53333333;0.18157658
20260709_122851;5;200;pareto;1.5;80;21;0.5;15;5000;0.0;0;0.0;0.0;0.0;1;0.0;0.0;cartel_break_even;produzido;30;3100;4.56666667;0.18035656
20260709_122851;5;200;pareto;1.5;80;21;0.5;15;5000;0.0;0;0.0;0.0;0.0;1;0.0;0.0;margem_limiar;stake;30;3100;0.33333333;0.00000000
20260709_122851;5;200;pareto;1.5;80;21;0.5;15;5000;0.0;0;0.0;0.0;0.0;1;0.0;0.0;margem_limiar;eleito;30;3100;0.33333333;0.00000000
20260709_122851;5;200;pareto;1.5;80;21;0.5;15;5000;0.0;0;0.0;0.0;0.0;1;0.0;0.0;margem_limiar;produzido;30;3100;0.33333333;0.00000000
20260709_122851;5;200;pareto;1.5;80;21;0.5;15;5000;0.0;0;0.0;0.0;0.0;1;0.0;0.0;peso_cartel;stake;30;3100;0.00000000;0.00000000
20260709_122851;5;200;pareto;1.5;80;21;0.5;15;5000;0.0;0;0.0;0.0;0.0;1;0.0;0.0;peso_cartel;eleito;30;3100;0.00000000;0.00000000
20260709_122851;5;200;pareto;1.5;80;21;0.5;15;5000;0.0;0;0.0;0.0;0.0;1;0.0;0.0;peso_cartel;produzido;30;3100;0.00000000;0.00000000
20260709_122851;5;200;pareto;1.5;80;21;0.5;15;5000;0.0;0;0.0;0.0;0.0;1;0.0;0.0;hhi;stake;30;3100;0.05225618;0.05733723
20260709_122851;5;200;pareto;1.5;80;21;0.5;15;5000;0.0;0;0.0;0.0;0.0;1;0.0;0.0;hhi;eleito;30;3100;0.05728891;0.00119815
20260709_122851;5;200;pareto;1.5;80;21;0.5;15;5000;0.0;0;0.0;0.0;0.0;1;0.0;0.0;hhi;produzido;30;3100;0.05716634;0.00116852
20260709_122851;6;200;pareto;1.5;80;21;0.5;15;5000;0.0;3;0.0;0.0;0.0;1;0.0;0.0;cartel_break_even;stake;30;3100;12.73333333;2.12834440
20260709_122851;6;200;pareto;1.5;80;21;0.5;15;5000;0.0;3;0.0;0.0;0.0;1;0.0;0.0;cartel_break_even;eleito;30;3100;4.36666667;0.19898116
20260709_122851;6;200;pareto;1.5;80;21;0.5;15;5000;0.0;3;0.0;0.0;0.0;1;0.0;0.0;cartel_break_even;produzido;30;3100;4.36666667;0.19898116
20260709_122851;6;200;pareto;1.5;80;21;0.5;15;5000;0.0;3;0.0;0.0;0.0;1;0.0;0.0;margem_limiar;stake;30;3100;0.12957194;0.05914361
20260709_122851;6;200;pareto;1.5;80;21;0.5;15;5000;0.0;3;0.0;0.0;0.0;1;0.0;0.0;margem_limiar;eleito;30;3100;0.06128640;0.00866666
20260709_122851;6;200;pareto;1.5;80;21;0.5;15;5000;0.0;3;0.0;0.0;0.0;1;0.0;0.0;margem_limiar;produzido;30;3100;0.06380000;0.00917380
20260709_122851;6;200;pareto;1.5;80;21;0.5;15;5000;0.0;3;0.0;0.0;0.0;1;0.0;0.0;peso_cartel;stake;30;3100;0.20376140;0.05914361
20260709_122851;6;200;pareto;1.5;80;21;0.5;15;5000;0.0;3;0.0;0.0;0.0;1;0.0;0.0;peso_cartel;eleito;30;3100;0.27204693;0.00866666
20260709_122851;6;200;pareto;1.5;80;21;0.5;15;5000;0.0;3;0.0;0.0;0.0;1;0.0;0.0;peso_cartel;produzido;30;3100;0.26953333;0.00917380
20260709_122851;6;200;pareto;1.5;80;21;0.5;15;5000;0.0;3;0.0;0.0;0.0;1;0.0;0.0;hhi;stake;30;3100;0.05225618;0.05733723
20260709_122851;6;200;pareto;1.5;80;21;0.5;15;5000;0.0;3;0.0;0.0;0.0;1;0.0;0.0;hhi;eleito;30;3100;0.05790333;0.00083500
20260709_122851;6;200;pareto;1.5;80;21;0.5;15;5000;0.0;3;0.0;0.0;0.0;1;0.0;0.0;hhi;produzido;30;3100;0.05784345;0.00083941
20260709_122851;7;200;pareto;1.5;80;21;0.5;15;5000;0.0;6;0.0;0.0;0.0;1;0.0;0.0;cartel_break_even;stake;30;3100;12.73333333;2.12834440
20260709_122851;7;200;pareto;1.5;80;21;0.5;15;5000;0.0;6;0.0;0.0;0.0;1;0.0;0.0;cartel_break_even;eleito;30;3100;4.36666667;0.19898116
20260709_122851;7;200;pareto;1.5;80;21;0.5;15;5000;0.0;6;0.0;0.0;0.0;1;0.0;0.0;cartel_break_even;produzido;30;3100;4.36666667;0.19898116
20260709_122851;7;200;pareto;1.5;80;21;0.5;15;5000;0.0;6;0.0;0.0;0.0;1;0.0;0.0;margem_limiar;stake;30;3100;0.06116862;0.05519035
20260709_122851;7;200;pareto;1.5;80;21;0.5;15;5000;0.0;6;0.0;0.0;0.0;1;0.0;0.0;margem_limiar;eleito;30;3100;-0.14556376;0.01314061
20260709_122851;7;200;pareto;1.5;80;21;0.5;15;5000;0.0;6;0.0;0.0;0.0;1;0.0;0.0;margem_limiar;produzido;30;3100;-0.14382667;0.01300794
20260709_122851;7;200;pareto;1.5;80;21;0.5;15;5000;0.0;6;0.0;0.0;0.0;1;0.0;0.0;peso_cartel;stake;30;3100;0.27216471;0.05519035
20260709_122851;7;200;pareto;1.5;80;21;0.5;15;5000;0.0;6;0.0;0.0;0.0;1;0.0;0.0;peso_cartel;eleito;30;3100;0.47889710;0.01314061
20260709_122851;7;200;pareto;1.5;80;21;0.5;15;5000;0.0;6;0.0;0.0;0.0;1;0.0;0.0;peso_cartel;produzido;30;3100;0.47716000;0.01300794
20260709_122851;7;200;pareto;1.5;80;21;0.5;15;5000;0.0;6;0.0;0.0;0.0;1;0.0;0.0;hhi;stake;30;3100;0.05225618;0.05733723
20260709_122851;7;200;pareto;1.5;80;21;0.5;15;5000;0.0;6;0.0;0.0;0.0;1;0.0;0.0;hhi;eleito;30;3100;0.05850249;0.00082084
20260709_122851;7;200;pareto;1.5;80;21;0.5;15;5000;0.0;6;0.0;0.0;0.0;1;0.0;0.0;hhi;produzido;30;3100;0.05848317;0.00082407
20260709_122851;8;200;pareto;1.5;80;21;0.5;15;5000;0.0;9;0.0;0.0;0.0;1;0.0;0.0;cartel_break_even;stake;30;3100;12.73333333;2.12834440
